B,T,H,K,V,Time_ms,TFLOPS,BW_GBs
1,16384,8,128,128,0.3775880084007601,28.436862403224524,445.0202343863994
1,16384,12,128,128,0.5312217495610995,30.319028491034185,474.4750308289285
1,16384,64,128,128,1.9759648117152127,43.47210305098303,680.3129408125029
1,16384,96,128,128,2.4584763303399084,52.41011161664728,820.1875377507546
1,8192,12,128,128,0.32439918026607323,24.824550029364598,388.4896623247732
1,8192,16,128,128,0.3508371614192948,30.605133722329455,478.9524100589156
1,8192,32,128,128,0.6212471120438333,34.567301905597915,540.9580205441471
1,8192,64,128,128,1.0061680601408836,42.686380796053285,668.0168479069863
1,32768,128,128,128,5.728700105694757,59.97824590930122,938.6244049771014
1,65536,12,128,128,1.8281558774446658,35.240162086205906,551.4878881166501
2,16384,32,128,128,1.9763909201232754,43.462730497993846,680.1662658499525
4,4096,16,128,128,0.5301982823802137,40.503406355058786,633.8545769920089
8,2048,16,128,128,0.39319766830148656,54.615879521274394,854.7065130160373
